Student_ID ##1,Student_ID ##2,Student_ID ##3,Student_ID ##4,First Choice (Topic),Second Choice (Topic),Third Choice (Topic),Fourth Choice (Topic),First Choice (Subteam),Second Choice (Subteam),Third Choice (Subteam),Fourth Choice (Subteam)
,,,,,,,,,,,
,,,student_67,FIFA video highlights,Storm cell tracking,,,Modeling team,Front-end team,,
student_35,student_40,student_31,,Customer analytics,Storm cell tracking,Airline delay,Heavy traffic,Front-end team,Front-end team,Front-end team,Front-end team
,,,student_24,Heavy traffic,Airline delay,Storm cell tracking,FIFA video highlights,Modeling team,Modeling team,Modeling team,Modeling team
,,,,,,,,,,,
,,,student_28,FIFA video highlights,Heavy traffic,Airline delay,Customer analytics,No preference,No preference,No preference,No preference
,,,,,,,,Modeling team,,,
student_41,student_45,,,Customer analytics,Customer analytics,Heavy traffic,Storm cell tracking,Front-end team,Modeling team,Front-end team,Front-end team
,,,student_17,Customer analytics,Storm cell tracking,Heavy traffic,Airline delay,Modeling team,Modeling team,Front-end team,Modeling team
,,,student_27,Customer analytics,Heavy traffic,Storm cell tracking,Airline delay,No preference,No preference,No preference,No preference
student_34,student_60,student_62,student_56,FIFA video highlights,Heavy traffic,Storm cell tracking,Customer analytics,Front-end team,Front-end team,Front-end team,Front-end team
student_48,student_54,,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team
student_48,student_54,,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team
,,,student_36,Airline delay,Customer analytics,Airline delay,Storm cell tracking,Modeling team,Modeling team,Front-end team,Modeling team
student_20,student_61,student_52,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team
,,,,,,,,,,,
,,,student_29,Airline delay,Customer analytics,,,No preference,No preference,,
student_46,student_38,student_25,student_22,FIFA video highlights,Airline delay,Heavy traffic,Airline delay,Modeling team,Modeling team,Modeling team,Front-end team
,,,,,,,,,,,
student_53,student_32,,,Airline delay,Customer analytics,Airline delay,Customer analytics,Front-end team,Modeling team,Modeling team,Front-end team
,,,,,,,,,,,
student_14,student_66,student_59,,Airline delay,Customer analytics,Airline delay,Customer analytics,Front-end team,Front-end team,Modeling team,Modeling team
student_12,student_11,student_8,,Customer analytics,Airline delay,,,Modeling team,Modeling team,,
,,,,,,,,,,,
,,,student_15,Customer analytics,Airline delay,Storm cell tracking,Heavy traffic,No preference,No preference,No preference,No preference
,,,,,,,,,,,
,,,student_51,FIFA video highlights,Heavy traffic,Storm cell tracking,Customer analytics,No preference,No preference,No preference,No preference
student_2,student_1,student_3,student_4,FIFA video highlights,Storm cell tracking,Heavy traffic,Airline delay,No preference,No preference,No preference,No preference
,,,student_57,Storm cell tracking,Storm cell tracking,Customer analytics,Airline delay,Modeling team,Front-end team,No preference,No preference
,,,,,,,,,,,
student_9,student_30,student_39,student_26,Customer analytics,Heavy traffic,Airline delay,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team
student_8,student_11,student_12,student_7,Customer analytics,Customer analytics,Airline delay,Airline delay,Modeling team,Front-end team,Modeling team,Front-end team